Reference,Qty,Value,Footprint,Price,Field5,,,,,,,,,,,,Pret,
R16.R17,2,31.6k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1.2221,https://ro.farnell.com/panasonic/era8aeb3162v/res-31k6-0-1-0-25w-1206-metal/dp/2095069,,,,,,,,,,,,2.4442,
R18,1,15.4k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.121,https://ro.farnell.com/vishay/crcw120615k4fkea/res-15k4-1-0-25w-1206-thick-film/dp/1653068,,,,,,,,,,,,0.121,
R21,1,3.92k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-073k92l/res-3k92-1-0-25w-thick-film-1206/dp/3952309,,,,,,,,,,,,0.0726,
R22,1,23.7k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0605,https://ro.farnell.com/yageo/rc1206fr-0723k7l/res-23k7-1-0-25w-thick-film-1206/dp/4013449,,,,,,,,,,,,0.0605,
R23,1,7.15k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-077k15l/res-7k15-1-0-25w-thick-film-1206/dp/4013482,,,,,,,,,,,,0.0726,
R24,1,2.87k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-072k87l/res-2k87-1-0-25w-1206-thick-film/dp/3496205,,,,,,,,,,,,0.0726,
R25,1,8.66k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-078k66l/res-8k66-1-0-25w-1206-thick-film/dp/3496299,,,,,,,,,,,,0.0726,
R26,1,274k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-07274kl/res-274k-1-0-25w-1206-thick-film/dp/3496195,,,,,,,,,,,,0.0726,
R27,1,3.01k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0605,https://ro.farnell.com/bourns/cr1206-fx-3011elf/res-3k01-1-1206-thick-film/dp/2908452,,,,,,,,,,,,0.0605,
R28,1,6.81k,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,0.0726,https://ro.farnell.com/yageo/rc1206fr-076k81l/res-6k81-1-0-25w-1206-thick-film/dp/3496286,,,,,,,,,,,,0.0726,
U1,1,ADP151AUJZ-3.3-R7,footprints:UJ_5_ADI,4.6464,https://ro.farnell.com/analog-devices/adp151aujz-3-3-r7/ldo-fixed-3-3v-0-2a-tsot-5-125deg/dp/4026816,,,,,,,,,,,,4.6464,
U2,1,MAX41400ATB+T,footprints:21-1000013_T102A2&plus_2C_ADI,11.3861,https://ro.farnell.com/analog-devices/max41400atb-t/instrument-amp-120db-tdfn-ep-8/dp/4627475,,,,,,,,,,,,11.3861,
U3.U6,2,AD8534ARZ,footprints:R_14_ADI,6.897,https://ro.farnell.com/analog-devices/ad8534arz/op-amp-3mhz-40-to-85deg-c-nsoic/dp/4019797,,,,,,,,,,,,13.794,
U4,1,AD7124-4BRUZ,footprints:RU-24_ADI-L,51.3887,https://ro.farnell.com/analog-devices/ad7124-4bruz/adc-24bit-19-2ksps-tssop-24/dp/4016396,,,,,,,,,,,,51.3887,
U5,1,ESP32-C3_SUPERMINI_TH,footprints:MODULE_ESP32-C3_SUPERMINI_TH,9.4,https://www.alibaba.com/product-detail/ESP32-C3-Super-Mini-Development-Board_1601046630498.html,,,,,,,,,,,,9.4,
,,,,,,,,,,,,,,,,,128.5245,",+1.85 lei per pcb"
,,,,,,,,,,,,,,,,=,130LEI,
